#Equilibrated stats.
#kT/J nstep/site E_tot/site P_tot/site
2.5 0 -0.0001 0.004
2.5 500 -0.12645 0.678
2.5 1000 -0.12585 0.688
2.5 1500 -0.1276 0.664
2.5 2000 -0.12265 0.69
2.5 2500 -0.12815 0.678
2.5 3000 -0.13045 0.706
2.5 3500 -0.1321 0.674
2.5 4000 -0.13105 0.738
2.5 4500 -0.1275 0.704
2.5 5000 -0.12375 0.67
