#Equilibrated stats.
#kT/J nstep/site E_tot/site P_tot/site
0.166667 0 0.0015 0.04
0.166667 500 -0.1424 0.728
0.166667 1000 -0.1424 0.726
0.166667 1500 -0.1423 0.716
0.166667 2000 -0.1428 0.708
0.166667 2500 -0.1425 0.73
0.166667 3000 -0.14205 0.7
0.166667 3500 -0.1427 0.734
0.166667 4000 -0.1423 0.72
0.166667 4500 -0.14265 0.732
0.166667 5000 -0.1432 0.746
